ds,y
1995-01-01,91
1995-02-01,90
1995-03-01,100
1995-04-01,102
1995-05-01,103
1995-06-01,103
1995-07-01,114
1995-08-01,107
1995-09-01,110
1995-10-01,108
1995-11-01,109
1995-12-01,110
1996-01-01,120
1996-02-01,119
1996-03-01,129
1996-04-01,130
1996-05-01,139
1996-06-01,138
1996-07-01,145
1996-08-01,139
1996-09-01,146
1996-10-01,145
1996-11-01,148
1996-12-01,150
1997-01-01,151
1997-02-01,159
1997-03-01,166
1997-04-01,170
1997-05-01,174
1997-06-01,176
1997-07-01,178
1997-08-01,180
1997-09-01,185
1997-10-01,187
1997-11-01,188
1997-12-01,188
1998-01-01,190
1998-02-01,198
1998-03-01,209
1998-04-01,210
1998-05-01,215
1998-06-01,219
1998-07-01,221
1998-08-01,228
1998-09-01,226
1998-10-01,227
1998-11-01,235
1998-12-01,234
1999-01-01,243
1999-02-01,248
1999-03-01,246
1999-04-01,254
1999-05-01,264
1999-06-01,262
1999-07-01,271
1999-08-01,266
1999-09-01,276
1999-10-01,275
1999-11-01,279
1999-12-01,278
2000-01-01,284
2000-02-01,287
2000-03-01,289
2000-04-01,301
2000-05-01,304
2000-06-01,314
2000-07-01,310
2000-08-01,317
2000-09-01,319
2000-10-01,312
2000-11-01,321
2000-12-01,320
2001-01-01,329
2001-02-01,325
2001-03-01,334
2001-04-01,340
2001-05-01,348
2001-06-01,347
2001-07-01,350
2001-08-01,351
2001-09-01,354
2001-10-01,357
2001-11-01,352
2001-12-01,362
2002-01-01,359
2002-02-01,370
2002-03-01,371
2002-04-01,379
2002-05-01,386
2002-06-01,390
2002-07-01,389
2002-08-01,386
2002-09-01,391
2002-10-01,389
2002-11-01,394
2002-12-01,392
2003-01-01,397
2003-02-01,396
2003-03-01,405
2003-04-01,405
2003-05-01,414
2003-06-01,412
2003-07-01,414
2003-08-01,418
2003-09-01,421
2003-10-01,416
2003-11-01,415
2003-12-01,414
2004-01-01,422
